id,gewogcode,gewogname,dzongcode
1,001,CHOKHOR,01
2,002,CHUMEY,01
3,003,TANG,01
4,004,URA,01
5,005,BJACHHO,02
6,006,BONGO,02
7,007,CHAPCHA,02
8,008,DARLA,02
9,009,DUNGNA,02
10,010,GETANA,02
11,011,GELING,02
12,012,LOKCHINA,02
13,013,METAKHA,02
14,014,PHUENTSHOLING,02
15,015,SAMPHELING/BHALUJHORA,02
16,016,DEORALI,03
17,017,DORONA,03
18,018,DRUJEYGANG,03
19,019,GESARLING,03
20,020,GOSHI,03
21,021,KANA,03
22,022,KHEBISA,03
23,023,LAJAB,03
24,024,LHAMOYZINGKHAG/KALIKHOLA,03
25,025,NICHULA,03
26,026,TRASHIDING,03
27,027,TSANGKHA,03
28,028,TSENDAGANG,03
29,029,TSEZA,03
30,030,KHAMAE,04
31,031,KHATOE,04
32,032,LAYA,04
33,033,LUNANA,04
34,034,BJI,05
35,035,GAKILING,05
36,036,KATSHO,05
37,037,SAMAR,05
38,038,SANGBAY/SOMBEYKHA,05
39,039,EUSU,05
40,040,GANGZUR,06
41,041,JARAY,06
42,042,KHOMA,06
43,043,KURTOE,06
44,044,MENBI,06
45,045,METSHO,06
46,046,MENJI,06
47,047,TSENKHAR,06
48,048,BALAM,07
49,049,CHALI,07
50,050,CHASKHAR,07
51,051,DRAMETSE,07
52,052,DEPONG,07
53,053,GUNGDUE,07
54,054,JURMEY,07
55,055,KENGKHAR,07
56,056,MONGAR,07
57,057,NARANG,07
58,058,NGATSHANG,07
59,059,SALING,07
60,060,SHERIMUNG,07
61,061,SILAMBI,07
62,062,THANGRONG,07
63,063,TSHAKALING,07
64,064,TSAMANG,07
65,065,DOGAR,08
66,066,DOPSHARI,08
67,067,DOTENG,08
68,068,HUNGREL,08
69,069,LAMGONG,08
70,070,LUNGNYI,08
71,071,NAJA,08
72,072,SHABA,08
73,073,TSENTO,08
74,074,WANGCHANG,08
75,075,CHIMUNG,09
76,076,CHOEKHORLING,09
77,077,CHONGSHING,09
78,078,DECHHELING,09
79,079,DUNGMIN,09
80,080,KHAR,09
81,081,NANONG,09
82,082,NORBUGANG,09
83,083,SHUMAR,09
84,084,YURUNG,09
85,085,ZOBEL,09
86,086,BARP,10
87,087,CHUBU,10
88,088,DZOMESA,10
89,089,GOENSHARI,10
90,090,GUMA,10
91,091,KABJISA,10
92,092,LINGMUKHA,10
93,093,SHENGANA,10
94,094,TALO,10
95,095,TOEWANG,10
96,096,TOEB,10
97,097,DEOTHANG,11
98,098,GOMDAR,11
99,099,LANGCHENPHU,11
100,100,LAURI,11
101,101,MARTSHALA,11
102,102,ORONG,11
103,103,PEMATHANG/DALIM,11
104,104,PHUNTSHOTHANG/BAKULI,11
105,105,SAMRANG,11
106,106,SERTHI,11
107,107,WANGPHU,11
108,108,NORGAYGANG/BARA,12
109,109,PEMALING/BIRU,12
110,110,SANGACHOLING/CHARGHAREY,12
111,111,NORBUGANG/CHENGMARI,12
112,112,DENCHUKHA,12
113,113,DOPHOOGCHEN/DOROKHA,12
114,114,DUMTOE,12
115,115,NAMGAYCHHOELING/LAHIRENI,12
116,116,PHUENTSHOGPELRI/PUGLI,12
117,117,SAMTSE/SAMTSE THROM,12
118,118,TASHICHOLING/SIPSU,12
119,119,TADING,12
120,120,TENDU,12
121,121,UGENTSE/NAINITAL,12
122,122,YOESELTSE/GHUMAUNEY,12
123,123,SAMTENLING/BHUR,13
124,124,CHUZAGANG,13
125,125,DEKILING,13
126,126,CHHUDZOM/DOVAN,13
127,127,GELEPHU,13
128,128,GAKILING/HILLEY,13
129,129,JIGMECHOELING,13
130,130,SENGGEY/SINGHI,13
131,131,SHERSHONG,13
132,132,SHOMPANGKHA,13
133,133,TAREYTHANG/TAKLAI,13
134,134,UMLING,13
135,135,CHANG,14
136,136,DAGALA,14
137,137,GENEY,14
138,138,KAWANG,14
139,139,LINGZHI,14
140,140,MEWANG,14
141,141,NARO,14
142,142,SOE,14
143,143,THIM THROM,14
144,144,BARTSHAM,15
145,145,BIDUNG,15
146,146,KANGLUNG,15
147,147,KANGPARA,15
148,148,KHALING,15
149,149,LUMANG,15
150,150,MERAK,15
151,151,PHONGME,15
152,152,RADHI,15
153,153,SAKTENG,15
154,154,SAMKHAR,15
155,155,SHONGPHU,15
156,156,THRIMSHING,15
157,157,UZARUNG,15
158,158,YANGNYER,15
159,159,BUMDEYLING,16
160,160,JAMKHAR,16
161,161,KHAMDANG,16
162,162,RAMJAR,16
163,163,TOETSHO,16
164,164,TONGZHANG,16
165,165,YALANG,16
166,166,YANGTSE,16
167,167,DRAKTEN,17
168,168,KORPHU,17
169,169,LANGTHIL,17
170,170,NUBEE,17
171,171,TANGSIBJEE,17
172,172,BARSHONG,18
173,173,SERGITHANG/PATALA,18
174,174,DUNGLAGANG,18
175,175,GOSARLING,18
176,176,KIKHORTHANG,18
177,177,MENDRELGANG,18
178,178,PATSHALING/BETENI,18
179,179,PHUNTENCHHU,18
180,180,RANGTHANGLING,18
181,181,SEMZONG,18
182,182,TSHOLINGKHAR,18
183,183,TSIRANGTOE,18
184,184,ATHANG,19
185,185,BJENA,19
186,186,DAGA,19
187,187,DANGCHU,19
188,188,GANGTEY,19
189,189,GASE TSHOGOM,19
190,190,GASE TSHOOM,19
191,191,KAZHI,19
192,192,NAHI,19
193,193,NYISHO,19
194,194,PHANGYUL,19
195,195,PHOBJI,19
196,196,RUBESA,19
197,197,SEPHU,19
198,198,THEDTSHO,19
199,199,BARDO,20
200,200,BJOKA,20
201,201,GOSHING,20
202,202,NANGKOR,20
203,203,NGANGLA,20
204,204,PHANGKHAR,20
205,205,SHINGKHAR,20
206,206,TRONG,20
207,207,PHUNTSHOLING THROM,02
208,208,DAGA THROM,03
209,209,THROM,08
210,210,PHALING THROM,06
211,211,KHURUTHANG THROM,10
212,212,SAMDRUPJONGKHAR THROM,11
213,213,GELEPHU THROM,13
214,214,BAJO THROM,19
215,215,HAA THROM,05
216,216,ZHEMGANG THROM,20

